asset,rows,accuracy,precision,recall,specificity,auc,oob_score,prob_up_last,last_date,last_close,prediction
AAPL,11073,0.6650112866817156,0.7871752349364289,0.7995508141493542,0.1129032258064516,0.5111267940912396,0.9831790471889816,0.75,2026-05-01,281.9549865722656,UP
ASML.AS,6784,0.4502579218865143,0.4502579218865143,1.0,0.0,0.5904650223998806,0.9837847798046804,0.9,2026-04-30,1222.4000244140625,UP
BABA,2556,0.34375,0.2776470588235294,0.8027210884353742,0.1589041095890411,0.7099151989562948,0.9657534246575342,0.78,2026-05-01,131.75,UP
BNDX,2883,0.2235701906412478,0.2112676056338028,1.0,0.0196936542669584,0.7707877461706784,0.9735472679965308,0.89,2026-05-01,47.935001373291016,UP
BRK-B,7178,0.5793871866295265,0.7680288461538461,0.6085714285714285,0.5,0.6168245743893412,0.9745733194009056,0.86,2026-05-01,474.8500061035156,UP
EMB,4255,0.5616921269095182,0.5653206650831354,0.9855072463768116,0.0054347826086956,0.652913741110811,0.9676850763807284,0.93,2026-05-01,95.6750030517578,UP
ETH-USD,2731,0.5356489945155393,0.1926910299003322,0.8405797101449275,0.4916317991631799,0.7352646898308167,0.9867216117216118,0.84,2026-05-01,2307.409912109375,UP
IBGL.L,4264,0.2286049237983587,0.1274900398406374,0.9896907216494846,0.1309523809523809,0.3375334096983581,0.9744942832014072,0.68,2026-05-01,141.39999389648438,UP
IEF,5613,0.2974176313446126,0.2264705882352941,1.0,0.1154708520179372,0.6402704171762468,0.9779510022271716,1.0,2026-05-01,94.68499755859376,UP
JNJ,15826,0.647820593809223,0.647820593809223,1.0,0.0,0.4309189654833144,0.976698262243286,0.85,2026-05-01,228.6750030517578,UP
JNK,4266,0.5386416861826698,0.5377358490566038,0.9956331877729258,0.0101010101010101,0.8180908429270877,0.9665885111371628,0.68,2026-05-01,96.45500183105467,UP
JPM,11261,0.6271637816245007,0.6271637816245007,1.0,0.0,0.5926292420719173,0.9713587921847248,0.92,2026-05-01,312.4700012207031,UP
MC.PA,6399,0.503125,0.2751937984496124,0.3514851485148514,0.5730593607305936,0.4228025114155251,0.977143973432311,0.98,2026-04-30,451.3999938964844,UP
MUB,4326,0.4341801385681293,0.3647214854111406,0.9615384615384616,0.1741379310344827,0.6454967446346757,0.980057803468208,1.0,2026-05-01,106.88629913330078,UP
NESN.SW,8925,0.2470588235294117,0.2470588235294117,1.0,0.0,0.2844041882626066,0.976610644257703,0.97,2026-04-30,79.05000305175781,UP
PA=F,6115,0.3458708094848732,0.2202729044834308,1.0,0.197592778335005,0.6308704875689014,0.9807849550286182,0.95,2026-05-01,1534.5,UP
RELIANCE.NS,7245,0.5638371290545203,0.5638371290545203,1.0,0.0,0.5531777264769223,0.972567287784679,1.0,2026-04-30,1430.800048828125,UP
SHY,5613,0.5146927871772039,0.4749518304431599,1.0,0.1349206349206349,0.2433706816059757,0.96815144766147,0.66,2026-05-01,82.2332992553711,UP
TIP,5271,0.5279620853080569,0.4591057797164667,0.9952718676122932,0.2151898734177215,0.6327954334620104,0.973908918406072,0.71,2026-05-01,111.2698974609375,UP
TLT,5613,0.1406945681211041,0.0548481880509304,1.0,0.0955951265229615,0.5452035078323738,0.9670378619153674,0.96,2026-05-01,85.42279815673828,UP
